scorer,,,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80,DLC_RtmposeS_ratOct2shuffle1_detector_best-50_snapshot_best-80
bodyparts,,,head,head,head,nose,nose,nose,spine1,spine1,spine1,spine2,spine2,spine2,spine3,spine3,spine3,tailbase,tailbase,tailbase,tail1,tail1,tail1,tail2,tail2,tail2,tail_tip,tail_tip,tail_tip,L_hip,L_hip,L_hip,L_backpaw,L_backpaw,L_backpaw,R_backpaw,R_backpaw,R_backpaw,L_shoulder,L_shoulder,L_shoulder,R_frontpaw,R_frontpaw,R_frontpaw,R_shoulder,R_shoulder,R_shoulder,R_hip,R_hip,R_hip,R_knee,R_knee,R_knee,L_knee,L_knee,L_knee,L_frontpaw,L_frontpaw,L_frontpaw
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,RAT 8 FR1 10-02-25,img03343.png,1014.93555,426.08984,0.8168063,1099.7031,613.6875,0.5690166,903.5742,359.6836,0.6919768,767.28125,358.02344,0.64149195,645.94727,470.91406,0.60198706,572.81445,593.7656,0.92409515,429.87305,612.02734,0.94048434,323.49805,695.03516,0.66570973,266.98633,713.2969,0.6483663,501.34375,414.46875,0.99096984,883.6289,670.1328,0.6254661,732.37695,714.95703,0.9999095,935.1543,643.5703,0.9591658,1028.2324,670.1328,0.97548455,1009.9492,585.46484,0.9693801,767.28125,575.5039,0.9075108,732.37695,663.4922,0.9998273,815.4824,645.23047,0.77910185,993.3281,675.1133,0.99754
labeled-data,RAT 8 FR1 10-02-25,img27192.png,923.21875,483.73828,0.721631,983.01953,661.66406,0.9793426,890.7344,403.26562,0.9402668,794.7578,339.77344,0.98793346,698.04297,668.3086,0.5226777,697.3047,542.8008,0.40053576,629.3828,666.09375,0.8439987,622.0,666.09375,0.79821354,671.46484,668.3086,0.7130525,709.1172,669.0469,0.8844211,622.7383,629.1797,0.67982996,629.3828,655.01953,0.9415558,946.84375,483.0,0.6998051,994.83203,668.3086,0.9669017,992.6172,499.2422,0.793124,864.89453,461.58984,0.60291106,882.6133,652.8047,0.5275999,866.3711,670.52344,0.97834694,999.2617,499.2422,0.996252
labeled-data,RAT 8 FR1 10-02-25,img18229.png,868.3789,409.65625,0.9996964,1017.31445,461.82812,0.74618936,783.5547,370.28125,0.9113651,688.8672,369.29688,0.45157263,668.1543,576.0156,0.9901176,634.61914,695.125,0.9457886,546.83594,758.125,0.9161435,811.1719,761.0781,0.9982779,885.1465,673.46875,0.99863607,647.4414,498.25,0.87582463,637.5781,620.3125,0.99973994,839.7754,621.2969,0.9999205,901.91406,498.25,0.53388387,921.6406,519.90625,0.9244649,836.8164,527.78125,0.44786134,825.9668,490.375,0.64708817,775.66406,622.28125,0.9997943,1037.041,620.3125,0.9964244,918.68164,535.65625,0.99781966
labeled-data,RAT 8 FR1 10-02-25,img14653.png,968.39844,501.84766,0.9979411,1096.6816,666.7832,0.9921542,891.7617,431.875,0.6600996,741.8203,368.5664,0.96341294,648.52344,523.50586,0.96195817,581.8828,656.7871,0.96343166,426.94336,676.7793,0.86169815,286.99805,706.7676,0.964233,283.66602,715.09766,0.6737206,665.1836,501.84766,0.99999917,831.78516,636.7949,0.79387635,865.10547,656.7871,0.7294957,1015.0469,363.56836,0.82944447,966.7324,646.791,0.8328808,916.75195,590.1465,0.99251395,816.791,551.8281,0.5832933,773.4746,653.4551,0.96217597,795.1328,653.4551,0.4860819,1096.6816,505.1797,0.8620876
labeled-data,RAT 8 FR1 10-02-25,img05997.png,924.6328,307.07812,0.9999925,1127.4707,404.95312,0.99962306,853.84375,308.4375,0.76481986,755.8281,304.35938,0.9364493,690.4844,447.09375,0.99959356,653.7285,536.8125,0.99589074,577.49414,554.4844,0.99413306,472.67188,667.3125,0.99771655,445.4453,720.3281,0.9999361,818.4492,524.5781,0.99963343,862.0117,611.5781,0.61499333,721.7949,645.5625,0.9999944,1038.9844,419.90625,0.86342984,984.53125,521.8594,0.9713027,890.5996,472.92188,0.702532,740.8535,520.5,0.99675024,734.0469,607.5,0.99973434,796.66797,576.2344,0.99999976,1002.2285,486.51562,0.5531135
labeled-data,RAT 8 FR1 10-02-25,img09219.png,965.58984,175.73828,0.99997044,1214.6719,284.95117,0.9470777,791.2324,227.4707,0.7238298,643.6992,344.34766,0.92028624,590.0508,493.79688,0.9996878,505.7461,626.00195,0.707602,360.1289,654.7422,0.85566145,296.9004,654.7422,0.7741221,446.3496,635.58203,0.99680823,785.4844,551.27734,0.9999938,791.2324,639.41406,0.6616928,793.14844,708.3906,0.9999982,1092.0469,346.26367,0.98816746,1120.7871,375.0039,0.5399596,980.91797,371.17188,0.9940612,750.9961,580.0176,0.72467786,708.84375,689.23047,0.99969685,716.5078,652.8262,0.9918934,1113.123,373.0879,0.5225625
labeled-data,RAT 8 FR1 10-02-25,img03937.png,367.6797,360.08594,0.9892497,186.59766,547.16406,0.7255391,463.6172,320.51172,0.9671825,619.5156,291.73047,0.9995721,708.2578,466.8164,0.9056387,662.6875,629.91016,0.45266384,487.60156,668.28516,0.8232872,185.39844,591.53516,0.8531233,306.51953,621.5156,0.5097227,476.8086,496.79688,0.948834,490.0,705.46094,0.80239,770.6172,640.7031,0.9279396,444.4297,484.8047,0.75288934,216.57812,568.75,0.57930595,771.8164,548.3633,0.55379915,738.2383,496.79688,0.9929012,663.8867,629.91016,0.99962103,578.7422,656.29297,0.9320947,184.19922,632.3086,0.9685301
labeled-data,RAT 8 FR1 10-02-25,img25588.png,948.2031,402.72656,0.95110315,1022.4531,523.23047,0.9735311,813.625,362.5586,0.9926725,700.7031,496.9668,0.98875004,651.2031,605.1113,0.98733056,575.40625,724.0703,0.9829652,360.39062,710.166,0.9159928,236.64062,710.166,0.75620365,392.875,713.25586,0.94471735,640.375,490.7871,0.9773491,819.8125,697.80664,0.59166974,907.9844,710.166,0.95071065,993.0625,606.65625,0.46129185,1022.4531,606.65625,0.9929958,988.4219,566.4883,0.91330653,887.875,594.2969,0.8375029,829.09375,702.4414,0.8263674,793.5156,685.44727,0.85434437,1022.4531,569.5781,0.7664998
labeled-data,RAT 8 FR1 10-02-25,img03809.png,1012.06836,391.2578,0.9368988,1094.2871,512.7344,0.9950193,883.60156,343.35156,0.88088036,777.40234,389.54688,0.7001766,683.19336,603.41406,0.9159114,573.56836,709.4922,0.97628844,368.02148,644.47656,0.67940575,224.13867,690.6719,0.9965062,224.13867,745.4219,0.8414919,224.13867,646.1875,0.72063845,873.3242,572.6172,0.95261484,899.0176,533.2656,0.46182323,996.65234,565.77344,0.5680744,1094.2871,512.7344,0.99501944,1058.3164,430.60938,0.9999876,922.99805,598.28125,0.98282593,828.78906,572.6172,0.9979639,782.541,706.0703,0.61699307,1094.2871,564.0625,0.9940275
labeled-data,RAT 8 FR1 10-02-25,img12555.png,973.4492,390.2422,0.5600789,1086.877,495.8086,0.96138346,884.7285,373.39648,0.6903086,753.33203,405.96484,0.9990988,671.3496,578.91406,0.50864905,557.9219,700.2031,0.56990796,516.36914,694.5879,0.6556124,516.36914,688.97266,0.8971199,629.7969,650.78906,0.85897666,674.71875,255.47656,0.9999869,856.65234,667.63477,0.98127055,854.40625,711.4336,0.8742257,967.834,591.2676,0.7181174,1086.877,522.7617,0.9007347,1046.4473,469.97852,0.65890753,855.5293,602.49805,0.9522175,796.0078,706.9414,0.91708905,856.65234,711.4336,0.7802427,1086.877,555.3301,0.87120986
labeled-data,RAT 8 FR1 10-02-25,img16376.png,963.47656,476.66016,0.99999404,1112.0781,618.8008,0.43314034,881.0996,424.97266,0.81292397,703.4238,403.9746,0.9968299,600.0488,510.58008,0.9997222,528.9785,615.5703,0.99999475,483.75195,557.4219,0.97884935,380.37695,539.6543,0.67471886,314.15234,571.959,0.62920934,751.88086,232.75977,0.99922943,792.2617,715.71484,0.8064702,674.3496,718.9453,0.72918767,1045.8535,655.9512,0.71126056,986.08984,718.9453,0.9999385,926.3262,652.7207,0.9999076,721.1914,662.4121,0.7305699,659.8125,718.9453,0.9897452,1123.3848,704.4082,0.9677421,1008.7031,649.49023,0.913691
labeled-data,RAT 8 FR1 10-02-25,img23519.png,978.5742,388.65234,0.9882676,1073.0645,542.08203,0.96621096,944.89453,358.71484,0.89706165,829.82227,360.58594,0.98874795,711.94336,599.1504,0.7249045,634.29297,705.80273,0.998744,825.14453,703.93164,0.84249336,598.7422,397.07227,0.6859924,787.72266,671.1875,0.8015262,723.1699,631.89453,0.37560558,903.73047,705.80273,0.9690155,899.9883,737.6113,0.9457804,1006.6406,599.1504,0.90688515,1073.0645,516.82227,0.724645,1028.1582,470.98047,0.99837303,929.9258,609.4414,0.81725246,878.4707,760.06445,0.9686566,920.5703,542.08203,0.38235828,1073.0645,547.6953,0.5123903
labeled-data,RAT 8 FR1 10-02-25,img11454.png,729.1367,184.9668,0.7016869,700.1328,114.31641,0.9738196,701.29297,333.2168,0.9961034,663.0078,413.1328,0.9910473,611.96094,552.1172,0.847943,565.5547,597.2871,0.99982977,441.41797,613.50195,0.99944276,319.60156,659.8301,0.9999254,589.91797,699.209,0.77918273,818.46875,520.8457,0.9999895,823.1094,614.66016,0.96354663,773.22266,684.15234,0.85919654,886.91797,195.39062,0.9888704,738.41797,184.9668,0.9831244,674.6094,195.39062,0.77573913,715.21484,561.3828,0.9998964,718.6953,651.72266,0.92683893,768.58203,614.66016,0.6895931,888.0781,191.91602,0.99917185
labeled-data,RAT 8 FR1 10-02-25,img02393.png,977.46875,280.78516,0.9998925,1207.1328,420.67773,0.5402192,841.16406,280.78516,0.97494113,643.2422,353.5293,0.97734356,585.3594,536.32227,0.8551928,503.20312,666.8887,0.51171225,322.08594,659.42773,0.9960145,258.60156,709.78906,0.9990207,570.4219,780.66797,0.97309315,546.14844,573.62695,0.98518723,777.6797,679.9453,0.99928325,803.8203,726.5762,0.98617953,602.16406,485.96094,0.9825044,1134.3125,467.3086,0.577689,984.9375,484.0957,0.51583004,801.9531,568.03125,0.9436237,723.53125,711.6543,0.5619047,777.6797,681.81055,0.49571195,1096.9688,465.44336,0.97720337
